Date,BTC,SPX
2024-01-02,44957.96875,4742.830078125
2024-01-03,42848.17578125,4704.81005859375
2024-01-04,44179.921875,4688.68017578125
2024-01-05,44162.69140625,4697.240234375
2024-01-08,46970.50390625,4763.5400390625
2024-01-09,46139.73046875,4756.5
2024-01-10,46627.77734375,4783.4501953125
2024-01-11,46368.5859375,4780.240234375
2024-01-12,42853.16796875,4783.830078125
2024-01-16,43154.9453125,4765.97998046875
2024-01-17,42742.65234375,4739.2099609375
2024-01-18,41262.05859375,4780.93994140625
2024-01-19,41618.40625,4839.81005859375
2024-01-22,39507.3671875,4850.43017578125
2024-01-23,39845.55078125,4864.60009765625
2024-01-24,40077.07421875,4868.5498046875
2024-01-25,39933.80859375,4894.16015625
2024-01-26,41816.87109375,4890.97021484375
2024-01-29,43288.24609375,4927.93017578125
2024-01-30,42952.609375,4924.97021484375
2024-01-31,42582.60546875,4845.64990234375
2024-02-01,43075.7734375,4906.18994140625
2024-02-02,43185.859375,4958.60986328125
2024-02-05,42658.66796875,4942.81005859375
2024-02-06,43084.671875,4954.22998046875
2024-02-07,44318.22265625,4995.06005859375
2024-02-08,45301.56640625,4997.91015625
2024-02-09,47147.19921875,5026.60986328125
2024-02-12,49958.22265625,5021.83984375
2024-02-13,49742.44140625,4953.169921875
2024-02-14,51826.6953125,5000.6201171875
2024-02-15,51938.5546875,5029.72998046875
2024-02-16,52160.203125,5005.56982421875
2024-02-20,52284.875,4975.509765625
2024-02-21,51839.1796875,4981.7998046875
2024-02-22,51304.97265625,5087.02978515625
2024-02-23,50731.94921875,5088.7998046875
2024-02-26,54522.40234375,5069.52978515625
2024-02-27,57085.37109375,5078.18017578125
2024-02-28,62504.7890625,5069.759765625
2024-02-29,61198.3828125,5096.27001953125
2024-03-01,62440.6328125,5137.080078125
2024-03-04,68330.4140625,5130.9501953125
2024-03-05,63801.19921875,5078.64990234375
2024-03-06,66106.8046875,5104.759765625
2024-03-07,66925.484375,5157.35986328125
